player,venue,runs,balls,boundaries,matches,entity_type,strike_rate,wickets,economy
JM Bairstow,"Punjab Cricket Association IS Bindra Stadium, Mohali",104,210,7.0,1,batter,49.52,,
PG Fulton,"Brisbane Cricket Ground, Woolloongabba",34,42,5.0,2,batter,80.95,,
DJM Short,Sydney Cricket Ground,58,64,8.0,5,batter,90.62,,
KD Mills,Lord's,185,270,,4,bowler,,5.0,4.11
SC Williams,OUTsurance Oval,10,25,0.0,1,batter,40.0,,
SM Sharif,"Sportpark Maarschalkerweerd, Utrecht",5,2,1.0,1,batter,250.0,,
B Kumar,The Wanderers Stadium,68,132,6.0,2,batter,51.52,,
II Selemani,Harare Sports Club,3,5,0.0,1,batter,60.0,,
V Ateak,"Gymkhana Club Ground, Dar-es-Salaam",13,21,,2,bowler,,2.0,3.71
S Pradhan,Gelephu International Cricket Ground,91,101,10.0,5,batter,90.1,,
R Bakum,"Tafawa Balewa Square Cricket Oval, Lagos",106,149,7.0,9,batter,71.14,,
SL Malinga,Asgiriya Stadium,12,36,1.0,2,batter,33.33,,
JNT Seales,"McLean Park, Napier",1,1,0.0,1,batter,100.0,,
MS Kasprowicz,Newlands,6,20,0.0,1,batter,30.0,,
A Symonds,Sydney Cricket Ground,814,994,93.0,17,batter,81.89,,
RS Bopara,The Rose Bowl,94,96,,4,bowler,,0.0,5.88
Ibrahim Nashath,"West End Park International Cricket Stadium, Doha",73,60,,4,bowler,,2.0,7.3
PW Gunaratne,"St George's Park, Port Elizabeth",60,48,,1,bowler,,0.0,7.5
Gaurav Tiwari,Udayana Cricket Ground,362,311,,15,bowler,,18.0,6.98
IR Bell,"Vidarbha Cricket Association Stadium, Jamtha",150,371,18.0,2,batter,40.43,,
DM de Silva,St George's Park,204,276,,4,bowler,,10.0,4.43
Asad Shafiq,Lord's,192,343,28.0,3,batter,55.98,,
Waqar Zalmai,"Scott Page Field, Vinor",80,72,,3,bowler,,4.0,6.67
Rafiulah Alokozai,"Velden Cricket Ground, Latschach",7,6,1.0,2,batter,116.67,,
RR Sarwan,County Ground,0,2,0.0,1,batter,0.0,,
D Bishoo,Sylhet International Cricket Stadium,6,12,0.0,1,batter,50.0,,
Mohammad Amir,Rangiri Dambulla International Stadium,234,294,,5,bowler,,7.0,4.78
FA Allen,Rangiri Dambulla International Stadium,23,12,,1,bowler,,0.0,11.5
Basil Hameed,ICC Academy,101,138,8.0,2,batter,73.19,,
AR Patel,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",21,18,,1,bowler,,1.0,7.0
AD Russell,"Sabina Park, Kingston",138,171,,4,bowler,,9.0,4.84
PVD Chameera,University Oval,28,56,6.0,1,batter,50.0,,
AC Botha,Trent Bridge,36,22,6.0,2,batter,163.64,,
C Green,"Kensington Oval, Bridgetown, Barbados",18,67,2.0,1,batter,26.87,,
LD Chandimal,Lord's,124,174,16.0,2,batter,71.26,,
D Johnson,Happy Valley Ground 2,10,3,2.0,1,batter,333.33,,
K Rabada,"Vidarbha Cricket Association Stadium, Jamtha",12,34,2.0,1,batter,35.29,,
JO Holder,"Bready Cricket Club, Magheramason, Bready",49,24,,1,bowler,,2.0,12.25
TG Southee,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",50,75,,2,bowler,,4.0,4.0
