player,cricsheet_id,unique_name,key_cricinfo,key_bcci,key_bigbash,batting_hand,bowling_style,role
Nayeem Hasan,1670dcfd,Nayeem Hasan,932635.0,,,Data not available,Data not available,Data not available
Nazimuddin,4aef496b,Nazimuddin,56059.0,,,Data not available,Data not available,Data not available
Nazmul Hossain,5e5eab39,Nazmul Hossain,56056.0,,,Data not available,Data not available,Data not available
Nazmul Hossain Shanto,1274d7ab,Nazmul Hossain Shanto,629058.0,,,Data not available,Data not available,Data not available
Nazmul Islam,6575e3bc,Nazmul Islam,446810.0,,,Data not available,Data not available,Data not available
Nestor Dhamba,b878fc9a,Nestor Dhamba,1096833.0,,,Data not available,Data not available,Data not available
Nimish Lathief,b561e8ea,Nimish Lathief,1400702.0,,,Data not available,Data not available,Data not available
Nithish Kumar Reddy,aad0c365,Nithish Kumar Reddy,1175496.0,20161382502ab62911e6842a028d29d,,Data not available,Data not available,Data not available
Nizakat Khan,e3eb9e46,Nizakat Khan,350629.0,,,Data not available,Data not available,Data not available
Noman Amjad,c079c66a,Noman Amjad,1153719.0,,,Data not available,Data not available,Data not available
Nouman Sarwar,6adabee6,Nouman Sarwar,1058211.0,,,Data not available,Data not available,Data not available
Nurul Hasan,d365d463,Nurul Hasan,410765.0,,,Data not available,Data not available,Data not available
O Davidson,63249474,O Davidson,1278259.0,,,Data not available,Data not available,Data not available
O Isesele,6034840a,O Isesele,1118193.0,,,Data not available,Data not available,Data not available
O Manishimwe,fb31ca49,O Manishimwe,1280665.0,,,Data not available,Data not available,Data not available
O Shields,309feb16,O Shields,1134962.0,,,Data not available,Data not available,Data not available
O Thomas,c6097d68,O Thomas,914567.0,,,Data not available,Data not available,Data not available
OA Shah,7bf96684,OA Shah,20123.0,201625b004bc8a0511e69558028d29d,,Data not available,Data not available,Data not available
OAC Banks,8692a3f1,OAC Banks,51258.0,,,Data not available,Data not available,Data not available
OB Nightingale,1deb4c0c,OB Nightingale,470766.0,,,Data not available,Data not available,Data not available
OC McCoy,529eb9e0,OC McCoy,906783.0,,,Data not available,Data not available,Data not available
OD Hald,38189be1,OD Hald,1036585.0,,,Data not available,Data not available,Data not available
OE Robinson,0f3ee070,OE Robinson,527776.0,,,Data not available,Data not available,Data not available
OEG Baartman,6b9eb501,OEG Baartman,535353.0,,,Data not available,Data not available,Data not available
OF Smith,23cca426,OF Smith,820691.0,,,Data not available,Data not available,Data not available
OGL Bascome,94a1827c,OGL Bascome,649015.0,,,Data not available,Data not available,Data not available
OH Agbomadzie,b38a9f73,OH Agbomadzie,380561.0,,,Data not available,Data not available,Data not available
OJ Hairs,c8a7b014,OJ Hairs,414973.0,,,Data not available,Data not available,Data not available
OJ Phillips,5ace5848,OJ Phillips,315585.0,,,Data not available,Data not available,Data not available
OJ Pope,e94bc520,OJ Pope,887207.0,,,Data not available,Data not available,Data not available
OJ Webster,a69e2964,OJ Webster,520130.0,,,Data not available,Data not available,Data not available
OL Pitcher,f71de062,OL Pitcher,23702.0,,,Data not available,Data not available,Data not available
OO Bascome,9a137157,OO Bascome,279531.0,,,Data not available,Data not available,Data not available
OP Stone,3f659464,OP Stone,457279.0,,,Data not available,Data not available,Data not available
P Aho,2e392afa,P Aho,1155526.0,,,Data not available,Data not available,Data not available
P Baron,c6d1b1e4,P Baron,1203195.0,,,Data not available,Data not available,Data not available
P Buccimazza,ddc7e056,P Buccimazza,520282.0,,,Data not available,Data not available,Data not available
P Gheewala,3b22ee4e,P Gheewala,1400315.0,,,Data not available,Data not available,Data not available
P Jayawickrama,b7d1eadd,P Jayawickrama,1028665.0,,,Data not available,Data not available,Data not available
P Khadka,12c3ba4d,P Khadka,25967.0,,,Data not available,Data not available,Data not available
P Kumar,e938e1bc,P Kumar,30732.0,J1iCzJIQL0eybOKiIJiOVUiXhcAGiJe,,Data not available,Data not available,Data not available
P Kurup,50ceaef6,P Kurup,1143530.0,,,Data not available,Data not available,Data not available
P Malav,02b078b1,P Malav,1230624.0,,,Data not available,Data not available,Data not available
P Mishra,3fa5672e,P Mishra,514770.0,,,Data not available,Data not available,Data not available
P Mustard,1b6fef02,P Mustard,17185.0,,,Data not available,Data not available,Data not available
P Nedeljkovic,87e87dd2,P Nedeljkovic,1401109.0,,,Data not available,Data not available,Data not available
